subunits_uniprot_id	complex_ids
A0AVF1	6173
A0FGR8	7313
A0FGR9	7314
A0JLT2	230|867|5450
A1A4S6	5274
A1Z199	2892|2893
A2A288	6085
A2RRP1	7863|8577
A3KN83	8452|8453
A4D0T7	10037|10043
A5D8V6	1192|8164
A5D8V7	8080
A5PLN9	8613
A5X5Y0	7640
A5YKK6	6394|6395|6765|7192|7214|7215|7216|8441
A6H8Y1	1114
A6ND01	7662
A6NED2	7377
A6NFQ2-2	10149
A6NGQ2	7378
A6NIX2	8944
A6NKF1	1154
A7MCY6	5212
A8K0Z3	6481|6484|6639|7135
A8K8P3	1183
A8MT69	6145|6146
A8MTZ0	6163|6166
A9UF07	10561
D6RGH6	6954|8148
D9YZV4	10649
O00116	635
O00139	8543
O00141	6242
O00148	5615|8391|8457
O00151	6362
O00159	6194|6302
O00161	730|731|797|801|805|820|915|1169|8533|10162
O00165	6282|6289|6292
O00170	10294|10299
O00187	8034
O00187-2	8029
O00189	67
O00203	59|652|6671
O00206	1714|7847|8418|8421|8432|8655|8656|8708|8709|10222
O00212	6722|6724
O00213	143|5870|7577|9036
O00217	178|2920
O00219	7486
O00221	5193|5230|5465
O00222	6360|6368|6371
O00231	32|193
O00232	32|193
O00233	32|193
O00254	10640|10680
O00255	1254|1256|6460|6462
O00257	115|116|642|5513|8381|8386
O00264	1990
O00267	1191|2861
O00268	155|462|463|469|470|485|492|493|497|508|509|513|514|5386
O00287	6133
O00291	9130
O00303	742|1097|10298
O00311	947
O00327	7271|7272|7273|7274|7311|9438|9619|9620|9665|9669
O00329	9451|9456
O00401	2297|2513|7557|8412
O00408	10292|10294|10629
O00410	8261
O00422	283|691|738|739|761|1257|5614|8622
O00429	4200|6175|7130
O00443	1185
O00444	8528|8529
O00451	10324
O00459	9452|9456
O00469	7000
O00470	662|7705|7706|7707|8218|8220
O00471	6167|6168|6169
O00472	6084
O00482	5575|7916|7919
O00483	178|2914|7305
O00487	32|193
O00499	7281
O00505	1728|5193|8667|8671
O00512	6339
O00522	6223|6224|6749|7058
O00541	6306|6856
O00548	3154|3270|3271|6269
O00555	1617|8407
O00560	8166|8169|8173|10642
O00562	9459
O00566	533
O00567	3055
O00571	1332|5232|8580|8682|8721
O00571-2	9621
O00592	6783
O00622	2348|2437
O00623	8791|8792
O00629	8666|8670
O00631	6514|6515|6516
O00743	5196|8305|8319|8320|8321|8322|8323|8696
O00750	1185
O00764	1086
O14490	6321|7233|7234
O14495	2366
O14497	86|189|238|555|566|570|571|711|713|714|739|778|803|806|807|808|1237|1251|1252|3063|7372|7974|7977|8391
O14508	9979|9980
O14519	7947|8008
O14543	5564|8180
O14558	9676
O14561	178|2914
O14576	6038|6039|6960|7965
O14593	6133
O14595	9185
O14610	8190
O14617	59|652|2307|2308|6195|8450
O14640	501|6693|6701|7158|7159
O14641	6681|7557
O14656	1000|7482
O14657	1000
O14662	875|877
O14678	8518
O14686	1399|1400|1401|3075|6340|6460|6467
O14713	6223|6749
O14727	1248|5816|8159|8161
O14744	711|713|714|803|806|807|808|811|819|825|832|834|836|1231|2764|2838|3063|6852|6853|6858|6932|7372|7376|7410|9090
O14745	682|687|6702|6788|6789|6790|6791|6793|7664|8066|9611
O14746	6245|8342
O14757	2171|2714
O14763	6158|8000
O14764	7462
O14775	7018|7023|7028|7035|7061|7070|7075|7080|7085|7090|7096|7146|7151|7156|7164|7169|7174|7179|7194|7203|7208|7213|8185|8186|8191|8193|8198|8393|8394|8395|8396|8397|8398|8399
O14776	8372
O14777	127|7542|8576
O14786	3104|4062|5646|5647|5648|5649|5658|5659|5669|5670|5689|5701|5731|5734|5745|5746|7498|10416|10575|10577
O14787	1552
O14791	6819|6820
O14793	9886|9917|9919
O14802	7992
O14807	7831|7832|7833|8702|8704
O14810	793
O14817	10798
O14818	181|192|193|194|8850
O14828	3262
O14862	7889|7892|8280
O14867	443|2788|2815|2817
O14879	7625
O14893	824|832|1143|1745|1746|1749|1751|1752|3118|3284|3298|8391|9780
O14894	7942|7943|7944
O14908	2486|2487|10448
O14910	1089|1448|3207|3208|6260
O14920	2055|2100|2101|2104|2105|2118|2727|5194|5233|5234|5266|5828|5844|6344|8561|8742|8868
O14925	605|3093|6445|6447|6456|6458|8563|8566|8722|8723
O14929	1149|1150
O14931	2489
O14936	617|1448|3207|3208|3209
O14964	168|169|706|3677|6083|7287
O14965	631|2581|6184|6412|6740|7243|7875|8010|8011|8758
O14974	815|817
O14976	9131
O14977	8869
O14979	1332
O14980	1045|1116|1117|1176|7881|8251
O14983	6514|6515
O14986	6701|6707
O15027	5194
O15042	2755|8372|8391
O15047	1401|2721|2731|6469|8018
O15054	7367
O15066	905
O15078	6594|6597|6598|8470
O15084	5196|8305|8320|8322
O15091	7428
O15105	1777|1783|2992|2996|2997|10328
O15111	2055|2100|2101|2105|2118|2124|2727|5193|5194|5196|5220|5230|5232|5233|5266|5285|5286|5829|5844|6344|8561|8742
O15116	561
O15117	2753
O15120	6088|6089
O15123	10139
O15126	1695|3262
O15127	1695|3262
O15143	27
O15144	27
O15145	27
O15146	8845
O15151	7250|7702
O15160	7992
O15164	9480
O15169	1812|1828|2842|2844|2968|2998|3004|3166|3168|3170|4151|6343|6352|6888|6963|7159
O15182	8118
O15194	9192|9425
O15198	443
O15212	112
O15228	635
O15230	2318|2319|2322
O15234	740|754|755|772|8369
O15235	315|320
O15239	178|2919|2939
O15259	6381|6600|6743|6750
O15260	6563
O15265	462|470|476|513|6664
O15269	2863|6968|6969|6970|6972|6973|6974|6982
O15270	6968|6969|6973|6974
O15273	6432
O15287	91|244|245|248|1152|1623|1624|1625|2739|6884|7988
O15294	2721|6460|6462|6469|6470|7221|7354|7383|7540
O15297	1183
O15304	6283|6795|6796
O15315	68|256|261
O15318	7992
O15335	2430
O15344	7251
O15350	8079
O15360	91|244|245|248|1152|1623|1624|1625|2739|6884
O15371	742|1097
O15372	742|1097
O15379	15|58|741|752|1413|1505|2183|5426|5609|5614|6244|7406|7480|7487|7488|8881|9556|9576|9595|9640|9713|9756
